"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENSEMBL","sig","dir","nlp","Mean_Ctrl","Mean_ZIKV"
"23237",25.1466501313215,-1.87905618999481,0.437054483030328,8.92968340350656e-07,8.86453316234832e-05,"ARC","ENSG00000198576",TRUE,"Down",4.05234413094345,40.5126942814049,9.78060598123806
"100131897",54.7509441717994,-1.15078177364189,0.272689230777524,1.18074004404773e-06,0.00011206662944896,"INSYN2B","ENSG00000204767",TRUE,"Down",3.95052368984685,77.4688372624015,32.0330510811972
"105369559",55.3343659138793,-1.10696037066669,0.263005339228652,1.25725154413787e-06,0.000118749239292673,"LOC105369559",NA,TRUE,"Down",3.92536916378354,77.3269956740439,33.3417361537148
"374897",30.0772141013568,-1.64239347784008,0.406857452715548,2.57105918889242e-06,0.000233762143169532,"SBSN","ENSG00000189001",TRUE,"Down",3.63122581970874,46.9862453341695,13.168182868544
"59344",21.9999600661665,-1.60510945797032,0.459289494174135,2.22305639536424e-05,0.00167145120688651,"ALOXE3","ENSG00000179148",TRUE,"Down",2.77690629683943,34.4325665142472,9.56735361808581
"56155",39.5883352713585,-1.09623786062991,0.325570179171937,3.33603961272213e-05,0.00239517796106032,"TEX14","ENSG00000121101",TRUE,"Down",2.62066221309067,55.7356145245881,23.441056018129
"26585",19.8205187066711,-1.64465246305728,0.517405030008092,6.30608832715544e-05,0.00420197125278984,"GREM1","ENSG00000166923",TRUE,"Down",2.37654692308605,31.3119805401769,8.32905687316531
"83716",18.8894397087844,-1.39594225860853,0.492194393309281,0.000185265851168744,0.0105401101350592,"CRISPLD2","ENSG00000103196",TRUE,"Down",1.97715485109704,28.7827256776179,8.99615373995091
