"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0042274","ribosomal small subunit biogenesis",109,-0.68444291877922,-2.34439410261365,0.0209800558319614,0.311522041141245,0.0978346523356242,3349,"tags=46%, list=16%, signal=39%","51118/56902/92856/79954/85395/84916/51602/64434/10799/55226/51504/57050/4869/6208/6201/28987/10607/23160/9136/25926/90121/6206/8602/115939/25983/6189/65095/26284/88745/9790/23212/51406/4809/6233/25879/27341/2091/55720/57647/9277/26574/6223/81554/2197/5591/10528/6838/6209/91582/65083",0.352487857583619
"GO:0030490","maturation of SSU-rRNA",69,-0.736358849511821,-2.343325822117,0.00958835720356491,0.233066752296017,0.0731954779133442,3349,"tags=54%, list=16%, signal=45%","51118/56902/92856/79954/85395/84916/51602/10799/55226/51504/57050/6208/28987/10607/23160/9136/25926/90121/8602/115939/25983/65095/88745/9790/23212/51406/4809/25879/27341/2091/55720/57647/9277/26574/6223/10528/65083",0.380730400722792
"GO:0042273","ribosomal large subunit biogenesis",76,-0.705996068149604,-2.29173755522296,0.000726296130317878,0.0469299038051552,0.0147385103349394,3697,"tags=55%, list=18%, signal=46%","51550/3692/285855/8886/84154/79707/84549/6129/55027/54881/2971/56342/55299/51504/90441/23560/4869/23195/6125/4839/57418/92170/26168/26155/81887/55178/55794/8225/6130/29960/117246/54663/23212/51388/22907/23481/81554/6838/23246/51154/27043/10969",0.477270815362862
"GO:0006364","rRNA processing",233,-0.617081931909446,-2.248992428001,0.0362897593656498,0.383913102568607,0.120569333647441,3619,"tags=44%, list=18%, signal=37%","3692/51010/285855/8886/84154/6155/79707/51118/90459/51441/55695/56902/54059/92856/84549/55352/79066/10248/705/8568/79954/6129/85395/54881/23517/84916/51602/56342/22984/10799/55226/55299/51504/57050/55646/6208/23195/6201/28987/6125/10607/4839/57418/57109/23160/9136/25926/79084/90121/26168/51547/79039/8602/57455/55011/81887/115939/55178/1662/25983/5036/56915/65095/23404/10419/6130/88745/29960/117246/54663/9790/23212/6839/51406/4809/25879/27341/2091/55720/57647/51093/9277/57602/55661/54606/23481/51490/26574/6223/50628/5591/10528/1736/9092/9221/23246/51154/27043/6209/113000/65083/10969",0.321775918075361
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",30,-0.764297755142737,-2.09173225828332,2.83334306172908e-05,0.00370223493399266,0.00116270061118324,3023,"tags=63%, list=15%, signal=54%","79954/85395/84916/10799/57050/10607/23160/90121/8602/25983/65095/88745/9790/23212/25879/55720/57647/9277/6223",0.575610261071129
"GO:0045070","positive regulation of viral genome replication",29,0.953135759146455,2.08496364506921,0.0256532455794769,0.332249083716573,0.10434405692502,163,"tags=10%, list=1%, signal=10%","3434/103/6352",0.352487857583619
"GO:0043330","response to exogenous dsRNA",21,0.986537441859235,2.07885293535402,3.16053502311894e-05,0.00403998824694335,0.0012687732917123,155,"tags=33%, list=1%, signal=33%","23586/4940/3434/64135/4938/7098/3456",0.557332238758646
"GO:0060333","type II interferon-mediated signaling pathway",23,0.97913611067184,2.07543998451467,0.000358306482920872,0.0300977445653533,0.00945230830168666,99,"tags=26%, list=0%, signal=26%","83666/54625/6772/6672/84166/3659",0.49849310876659
"GO:0006284","base-excision repair",45,-0.708913168412989,-2.07515298721425,0.00278129526641495,0.11466016905442,0.0360094513219273,1601,"tags=38%, list=8%, signal=35%","142/4595/6117/27301/252969/5428/6118/11284/10075/79661/5426/2237/8091/7374/3978/5424/3159",0.431707695803346
"GO:0035456","response to interferon-beta",27,0.981123444728812,2.0747590182925,0.000264491867503315,0.0254952816544179,0.00800688775574586,155,"tags=48%, list=1%, signal=48%","4938/5359/6772/87178/8519/3428/55337/54739/10410/684/3659/10581/3456",0.49849310876659
