"GeneID","SYMBOL","ENSEMBL","Control_1","Control_2","Control_3","ZIKV_1","ZIKV_2","ZIKV_3"
"1","A1BG","ENSG00000121410",107.680698683593,131.133452086082,133.279073277854,148.459894211628,181.280998900123,146.59917897357
"100","ADA","ENSG00000196839",849.406753591073,913.182952570469,914.105967228915,662.934118806641,774.790022696417,725.516344920218
"1000","CDH2","ENSG00000170558",2131.54277456279,1796.90839054189,1790.51684302571,1797.39180098984,1638.15112704723,1587.16049888732
"10000","AKT3","ENSG00000117020",856.763819960759,856.168408185216,943.723539068438,945.848256832573,857.566734522957,909.513273631943
"100008587","RNA5-8SN5","ENSG00000274917",36.1165076330062,34.2087266311518,32.3100783703887,28.0113007946468,32.2829176123507,65.8200395391538
"100008588","RNA18SN5",NA,1635.9440309321,1603.05893963203,1808.01813547634,1756.30855982435,1672.91734601438,5353.86185251435
"100008589","RNA28SN5",NA,11023.560718652,8982.64146789661,9877.46020848092,8842.2339508435,8668.37726247529,18431.1069809526
"100009676","ZBTB11-AS1","ENSG00000256628",159.180163271398,152.989027433762,164.242898382809,171.802644873834,148.170314169507,189.98056866983
"10001","MED6","ENSG00000133997",984.509245107133,1039.56519262445,1071.61759928456,1103.64525130908,1041.33103477788,936.439653443415
"10002","NR2E3","ENSG00000278570",34.1100349867281,41.8106658825189,55.1963838827474,45.7517912979231,47.1827257411279,44.8772996857867
"10003","NAALAD2","ENSG00000077616",42.8047497872667,48.462362727465,78.0826893951061,40.1495311389937,23.1774793114313,50.8609396438916
"100033416","SNORD116-4","ENSG00000275529",20.0647264627812,12.3531512834715,10.7700261234629,15.8730704502998,12.416506773981,11.9672799162098
"100034743","PDZK1P1","ENSG00000290705",38.1229802792844,38.9599386632562,40.3875979629859,26.1438807416703,33.9384518488815,53.852759622944
"100037417","DDTL","ENSG00000099974",906.256811902286,979.699921019931,957.186071722766,1019.61134892514,786.378762352132,870.619613904261
"10004","NAALADL1","ENSG00000168060",6.68824215426041,18.0546057219968,13.4625326543286,48.5529213773878,33.9384518488815,44.8772996857867
"100049076","GUSBP17",NA,27.4217928324677,19.0048481284177,25.5788120432244,23.3427506622057,27.3163149027583,29.9181997905244
"100049716","NINJ2-AS1","ENSG00000177406",81.596554281977,84.5715741714586,80.7751959259718,55.0888915628053,94.3654514822559,59.8363995810489
"10005","ACOT8","ENSG00000101473",363.840373191767,373.445265723407,438.878564531114,385.622240939637,393.189381176066,411.375247119711
"10006","ABI1","ENSG00000136754",1373.09611426966,1369.29930765249,1344.90701216743,1277.31531623589,1398.09866275026,1298.44987090876
"10007","GNPDA1","ENSG00000113552",1445.9979537511,1432.96554888269,1532.0362160626,1129.78913205075,1099.27473305645,1180.27298173619
"10008","KCNE3","ENSG00000175538",58.1877067420656,51.3130899467277,65.9664100062103,32.6798509270879,24.8330135479621,26.926379811472
"10009","ZBTB33","ENSG00000177485",812.62142174264,749.741258666077,805.059452728853,1263.30966583857,1152.25182862544,1264.04394114966
"100093630","SNHG8","ENSG00000269893",596.591200160029,729.786168131238,706.782964352254,1159.66785289838,1060.36967849798,1063.59200255314
"100093631","GTF2IP4","ENSG00000293241",3752.77267275552,3513.04617653801,3640.26882973046,2782.45587893491,2674.51555911552,2828.76579019409
"10010","TANK","ENSG00000136560",641.402422593574,607.204897702944,582.92766393243,854.344674236727,874.94984400653,905.025543663364
"100101148","FKBP6P1","ENSG00000296074",26.0841444016156,24.706302566943,30.9638251049559,55.0888915628053,38.0772874402085,35.9018397486293
"100101267","POM121C","ENSG00000272391",1576.41867575918,1385.45342856165,1571.07756076015,1493.93604238116,1401.40973122333,1512.36499941101
"100101440","PMS2P7","ENSG00000310533",44.8112224335448,48.462362727465,51.1576240864488,63.4922818011994,67.0491365794976,71.8036794972587
"100101467","ZSCAN30","ENSG00000186814",61.5318278191958,65.5667260430409,67.3126632716432,72.8293820660816,71.1879721708246,74.7954994763111
"10011","SRA1","ENSG00000213523",1145.69588102481,1309.43403604798,1212.97419215501,1019.61134892514,1152.25182862544,1029.18607279404
"100113380","SNORD125","ENSG00000239127",12.7076600930948,7.60193925136707,10.7700261234629,14.0056503973234,18.2108766018389,10.4713699266836
"100113381","SNORD19B","ENSG00000238862",22.7400233244854,17.1043633155759,16.1550391851944,19.6079105562528,18.2108766018389,8.97545993715733
"100113386","UCKL1-AS1","ENSG00000280213",118.381886130409,118.78030080261,109.046514500062,131.65311373484,122.50953350328,158.56645888978
"100113393","SNORD12B","ENSG00000222365",23.4088475399114,20.9053329412594,13.4625326543286,33.6135609535761,39.7328216767393,44.8772996857867
"100113407","TMEM170B","ENSG00000205269",232.082002752836,190.998723690598,205.976749611228,169.935224820857,140.720410105118,148.095088963096
"100124516","SNORD58C",NA,32.772386555876,39.9101810696771,35.0025849012545,87.7687424898933,108.437492492768,76.2914094658373
"100124700","HOTAIR","ENSG00000228630",18.0582538165031,18.0546057219968,26.9250653086573,15.8730704502998,19.8664108383697,28.4222898009982
"100125288","ZGLP1","ENSG00000220201",101.661280744758,94.0739982356674,88.852715518569,213.819596065804,207.769546684616,233.361958366091
"100125556","FAM86JP","ENSG00000291071",141.790733670321,154.889512246604,158.857885321078,108.310363072634,138.237108750322,170.533738805989
"100126270","FMR1-AS1","ENSG00000268066",3.34412107713021,1.90048481284177,4.03875979629859,32.6798509270879,14.8998081287772,19.4468298638409
"100126311","MIR147B","ENSG00000284386",21.4023748936333,24.706302566943,39.0413446975531,81.2327723044757,77.8101091169478,55.3486696124702
"100126321","MIR922","ENSG00000284146",14.0453085239469,11.4029088770506,10.7700261234629,15.8730704502998,19.8664108383697,28.4222898009982
"100126325","MIR935","ENSG00000284583",3.34412107713021,2.85072721926265,1.34625326543286,13.0719403708352,12.416506773981,16.4550098847884
"100126328","MIR940","ENSG00000284346",8.0258905851125,13.3033936898924,8.07751959259718,6.53597018541758,9.93320541918483,10.4713699266836
"100126332","MIR943","ENSG00000284587",44.8112224335448,38.0096962568353,55.1963838827474,45.7517912979231,50.4937942141895,61.3323095705751
"100126338","MIR937","ENSG00000284224",97.648335452202,85.5218165778795,94.2377285803005,109.244073099122,79.4656433534786,103.217789277309
"100126351","MIR939","ENSG00000284310",151.154272686285,140.635876150291,160.204138586511,131.65311373484,159.759053825223,136.127809046886
"100126693","LINC00322",NA,11.3700116622427,12.3531512834715,17.5012924506272,11.2045203178587,12.416506773981,16.4550098847884
