"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENSEMBL","sig","dir","nlp","Contrast"
"27289",1869.77571847028,2.4438201055414,0.0948263966248817,25.7715171357693,1.85023855482054e-146,2.98887536145709e-142,"RND1","ENSG00000172602",TRUE,"Up",141.524492195018,"Interaction_KO:ZIKV"
"51251",2563.12109175371,-1.8350503482253,0.0792002816242662,-23.1697452406919,9.19432039232677e-119,7.42625258088233e-115,"NT5C3A","ENSG00000122643",TRUE,"Down",114.129230283683,"Interaction_KO:ZIKV"
"87178",3600.34412084708,-1.41317082807321,0.0697018371262269,-20.2745133605879,2.15916887977089e-91,1.16264046946063e-87,"PNPT1","ENSG00000138035",TRUE,"Down",86.9345545640929,"Interaction_KO:ZIKV"
"4599",9249.54330350459,-3.04352401235515,0.153517256423815,-19.8252892427474,1.80142555808893e-87,7.27505711634215e-84,"MX1","ENSG00000157601",TRUE,"Down",83.1381635926905,"Interaction_KO:ZIKV"
"51056",2891.40563615274,-1.46870164397652,0.0754900782381998,-19.4555586409939,2.61487938019195e-84,8.44815230152415e-81,"LAP3","ENSG00000002549",TRUE,"Down",80.0732382653695,"Interaction_KO:ZIKV"
"6891",2683.03490501915,-1.52743807441518,0.0813611482683452,-18.773556014443,1.24281185989707e-78,3.34606379746288e-75,"TAP2","ENSG00000204267",TRUE,"Down",74.475465782853,"Interaction_KO:ZIKV"
"8660",2545.58883559815,1.66226742601696,0.0890020623011637,18.6767293143412,7.65693741427131e-78,1.76700238557341e-74,"IRS2","ENSG00000185950",TRUE,"Up",73.7527628641657,"Interaction_KO:ZIKV"
"1435",2970.15538692645,-1.30107290484956,0.0700787346387508,-18.5658732503729,6.06922252671011e-77,1.22552775870594e-73,"CSF1","ENSG00000184371",TRUE,"Down",72.9116768473525,"Interaction_KO:ZIKV"
"6507",972.03570263079,-4.26589372100687,0.236311933422847,-18.0519606404034,7.61392774887282e-73,1.36661543172546e-69,"SLC1A3","ENSG00000079215",TRUE,"Down",68.8643536795629,"Interaction_KO:ZIKV"
"5610",3617.57232216577,-1.1543766452587,0.0657161456166987,-17.5661039524717,4.47895592006495e-69,7.23530539327293e-66,"EIF2AK2","ENSG00000055332",TRUE,"Down",65.1405431331263,"Interaction_KO:ZIKV"
"80824",2192.63553709566,1.46798868301478,0.0837232133693504,17.5338311077318,7.90586195415006e-69,1.16101176370309e-65,"DUSP16","ENSG00000111266",TRUE,"Up",64.9351633798433,"Interaction_KO:ZIKV"
"1267",4382.41783758356,-1.12992399839079,0.0652430712498383,-17.3186819189416,3.40057889825903e-67,4.57774596020636e-64,"CNP","ENSG00000173786",TRUE,"Down",63.3393483119546,"Interaction_KO:ZIKV"
"6385",2575.12955472203,1.29778739851299,0.0753485910426483,17.2237779174719,1.76108150229192e-66,2.18834696830952e-63,"SDC4","ENSG00000124145",TRUE,"Up",62.6598838183186,"Interaction_KO:ZIKV"
"4884",1426.91044810072,1.88113129995564,0.110014535093091,17.0989342304985,1.51142985813145e-65,1.74397413773253e-62,"NPTX1","ENSG00000171246",TRUE,"Up",61.7584599597265,"Interaction_KO:ZIKV"
"9246",2547.93103188241,-1.66618594728665,0.0981838142886337,-16.9700674124201,1.36774961393868e-64,1.47297515090436e-61,"UBE2L6","ENSG00000156587",TRUE,"Down",60.8318045796449,"Interaction_KO:ZIKV"
"5698",1142.64168342269,-1.78988056093753,0.106601281976371,-16.7904224766665,2.86796061932583e-63,2.89556474028684e-60,"PSMB9","ENSG00000240065",TRUE,"Down",59.5382667204785,"Interaction_KO:ZIKV"
"64761",1603.39656848617,-1.48851443271827,0.0905827079335164,-16.4326554888464,1.11660283025582e-60,1.06103541882073e-57,"PARP12","ENSG00000059378",TRUE,"Down",56.9742701185099,"Interaction_KO:ZIKV"
"9636",5266.13926298303,-2.14205320612198,0.13119600882021,-16.327121727136,6.33011182186806e-60,5.68092368724759e-57,"ISG15","ENSG00000187608",TRUE,"Down",56.2455810446305,"Interaction_KO:ZIKV"
"6773",3548.21981181376,-1.14794367907372,0.0719866091329612,-15.9466280312418,3.00700406403257e-57,2.55658650791485e-54,"STAT2","ENSG00000170581",TRUE,"Down",53.592339507348,"Interaction_KO:ZIKV"
"3434",12302.3329771838,-1.85946438335783,0.117012644750037,-15.8911405457934,7.29874033224043e-57,5.8951925663506e-54,"IFIT1","ENSG00000185745",TRUE,"Down",53.2295020041164,"Interaction_KO:ZIKV"
"89797",719.897751574576,2.04669384463909,0.134100266507682,15.2624144451037,1.36117064946011e-52,1.0470643176847e-49,"NAV2","ENSG00000166833",TRUE,"Up",48.9800266402336,"Interaction_KO:ZIKV"
"7052",46963.6639617053,-0.937565164955489,0.061515592361942,-15.2410978900942,1.88673133655521e-52,1.38537536412331e-49,"TGM2","ENSG00000198959",FALSE,"NS",48.8584325396098,"Interaction_KO:ZIKV"
"10202",319.649369092456,3.10853625682041,0.205095957317622,15.156496975737,6.86336030823168e-52,4.82046619213803e-49,"DHRS2","ENSG00000100867",TRUE,"Up",48.3169109586735,"Interaction_KO:ZIKV"
"5359",2601.65181902947,-1.21669986215355,0.0812069965176396,-14.9826974808662,9.52704211410332e-51,6.41249326296771e-48,"PLSCR1","ENSG00000188313",TRUE,"Down",47.1929730781542,"Interaction_KO:ZIKV"
"678",1851.69398760594,1.36469775957439,0.0924950319122371,14.7542817312531,2.88749128775242e-49,1.86578137049411e-46,"ZFP36L2","ENSG00000152518",TRUE,"Up",45.7291392475942,"Interaction_KO:ZIKV"
"3133",3593.23720662034,-1.04024881852363,0.0706956452436817,-14.7144681251297,5.20538888053651e-49,3.11436488800692e-46,"HLA-E","ENSG00000204592",TRUE,"Down",45.506630505588,"Interaction_KO:ZIKV"
"57674",12095.6778530379,-1.39607041923764,0.0948673671539516,-14.7160236561861,5.08705783987364e-49,3.11436488800692e-46,"RNF213","ENSG00000173821",TRUE,"Down",45.506630505588,"Interaction_KO:ZIKV"
"6890",4246.9083878971,-1.18694663353482,0.0814005821542721,-14.5815496907048,3.68065703071678e-48,2.12347620264996e-45,"TAP1","ENSG00000168394",TRUE,"Down",44.6729526016927,"Interaction_KO:ZIKV"
"85441",4397.82502307371,-1.22775995678592,0.0845213969594556,-14.526025372899,8.28925680423165e-48,4.61740187639855e-45,"HELZ2","ENSG00000130589",TRUE,"Down",44.3356023249059,"Interaction_KO:ZIKV"
