"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","56/577","159/6555",0.352201257861635,4.00117720153036,11.9014299028708,5.37200454305301e-21,1.88557359461161e-18,1.88557359461161e-18,"6347/3626/132014/6376/7133/3592/51561/282616/3569/3587/282617/10673/3624/4050/8743/3575/7852/5008/8744/8793/4804/3552/4049/2056/355/51554/1435/9235/6352/2921/58985/2920/1440/6364/282618/64109/1436/7124/94/939/2919/3576/3601/6373/3627/3604/3595/8741/4803/3603/83729/130399/3456/8740/6348/3574",56
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","33/577","74/6555",0.445945945945946,5.06616234952457,10.9280515146065,2.25404400916709e-16,3.95584723608824e-14,3.95584723608824e-14,"723790/440686/8358/128312/8365/126961/2209/8348/8341/6737/733/8353/121504/720/85235/715/333932/8336/8356/8340/8344/7124/8337/3112/721/653604/440689/8969/8294/8330/8367/317772/8349",33
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","47/577","145/6555",0.324137931034483,3.68236419052172,10.1469588408851,3.92801174819961e-16,4.59577374539355e-14,4.59577374539355e-14,"4939/56829/3107/7098/6347/3592/6891/55080/3569/6892/4792/110117499/5610/4938/5371/3133/3106/6890/4049/6672/355/3665/6352/684/148022/340061/4940/8503/115004/330/836/567/3105/3134/7124/3112/9021/6772/3717/23586/6773/3456/8740/4615/5199/64135/10379",47
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","24/577","45/6555",0.533333333333333,6.05892547660312,10.5788196728203,1.91304282305978e-14,1.67869507723496e-12,1.67869507723496e-12,"6347/6376/7133/3569/3587/8743/7852/8793/4049/51554/1435/6352/2921/58985/2920/6364/1436/7124/2919/3576/6373/3627/8740/6348",24
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","37/577","110/6555",0.336363636363636,3.82125413581219,9.2702246814935,1.65798713888052e-13,1.16390697149412e-11,1.16390697149412e-11,"3726/6347/6376/7133/3569/1326/4792/110117499/843/2353/9252/4049/1540/355/1435/3383/3725/6352/840/8503/2921/2920/330/836/6364/153090/7185/7124/2919/197259/9021/3627/7128/3456/64127/9586/3659",37
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","40/577","129/6555",0.310077519379845,3.52263109104833,8.98962153721229,3.53680679898647e-13,2.06903197740708e-11,2.06903197740708e-11,"4939/7098/6347/3592/834/4599/3569/4792/110117499/5610/8743/4938/5371/3552/355/3383/3665/6352/148022/4940/8503/836/103/4600/7124/3112/3576/9021/7706/6772/3627/3717/23586/6773/3456/4615/402569/91543/64135/10379",40
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","42/577","166/6555",0.253012048192771,2.87433964628009,7.59887081346054,1.45967268237118e-10,6.5344664331843e-09,6.5344664331843e-09,"4791/4939/3107/6891/55080/3569/6892/4792/4616/110117499/5610/4938/3133/4794/3106/9636/6890/1647/355/3383/5971/3665/3725/11317/4940/8503/836/5336/567/3105/3134/7124/3112/6772/3627/23586/10018/7128/6773/3456/4615/10379",42
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","11/577","13/6555",0.846153846153846,9.6127183042261,9.6565016493433,1.48933707878845e-10,6.5344664331843e-09,6.5344664331843e-09,"3107/3569/3133/3106/3552/355/3105/3824/3134/7124/3112",11
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","37/577","141/6555",0.26241134751773,2.98112024779675,7.38786728031479,6.2309816528864e-10,2.4300828446257e-08,2.4300828446257e-08,"4939/388646/2633/6347/10628/834/2634/3569/4792/4938/2635/10616/115361/3665/63940/3725/6352/148022/115362/340061/4940/2921/2920/330/7124/2919/3428/3576/6772/7128/6773/3456/22861/64127/4615/837/10379",37
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","35/577","131/6555",0.267175572519084,3.03524415574107,7.30991905269506,1.0849759330233e-09,3.80826552491178e-08,3.80826552491178e-08,"723790/440686/5582/834/8358/128312/8365/126961/2209/8348/8341/110117499/8353/121504/85235/333932/8503/9734/3684/8336/5336/8356/8340/8344/8337/6404/653604/440689/8969/8294/8330/8367/837/317772/8349",35
"Human Diseases","Infectious disease: viral","hsa05162","Measles","30/577","106/6555",0.283018867924528,3.21523167980118,7.1431384449238,3.95308421154715e-09,1.2613932347755e-07,1.2613932347755e-07,"4939/3592/4599/3569/4792/110117499/5610/4938/2213/2353/3552/355/6776/3665/3725/4940/8503/836/103/4600/3310/6772/23586/7128/6773/3456/4615/64135/27113/10379",30
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","21/577","63/6555",0.333333333333333,3.78682842287695,6.9048527297251,3.87731478966194e-08,1.08642796746379e-06,1.08642796746379e-06,"3592/834/51561/3569/2353/3552/720/3394/3725/148022/840/715/4843/3684/710/836/7124/3576/721/4615/3659",21
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","11/577","18/6555",0.611111111111111,6.94251877527441,7.84297340530072,4.02380728690294e-08,1.08642796746379e-06,1.08642796746379e-06,"3107/3592/3133/3106/3552/4049/355/3105/3134/7124/3112",11
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","41/577","192/6555",0.213541666666667,2.42593695840555,6.22992972838072,5.15534859689963e-08,1.20882285421764e-06,1.20882285421764e-06,"4939/7098/6347/629/3592/5582/834/4599/59272/3569/4792/110117499/5610/4938/733/2353/1839/9636/720/3725/340061/715/4940/8503/115004/1440/6123/5336/103/4600/7124/3576/721/6772/3627/23586/6773/3456/4615/64135/10379",41
"Human Diseases","Immune disease","hsa05330","Allograft rejection","9/577","12/6555",0.75,8.52036395147314,8.10035759725779,5.16590963340871e-08,1.20882285421764e-06,1.20882285421764e-06,"3107/3592/3133/3106/355/3105/3134/7124/3112",9
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","20/577","60/6555",0.333333333333333,3.78682842287695,6.73688987973368,8.20474478203986e-08,1.79991588655999e-06,1.79991588655999e-06,"6347/51561/3569/10673/4050/2353/3552/1435/3383/3725/6352/2921/2920/6364/7124/2919/3112/3576/8741/6348",20
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","28/577","111/6555",0.252252252252252,2.86570799569066,6.15872150663906,1.971668441764e-07,4.07091542975979e-06,4.07091542975979e-06,"5155/3592/51561/282616/3569/3587/282617/110117499/3575/5008/2056/6776/8503/58985/1440/282618/64109/4170/9021/8651/3601/6772/3717/3595/6773/3456/3574/10379",28
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","27/577","107/6555",0.252336448598131,2.86666450703769,6.04795866115533,3.24117083166759e-07,6.32028312175179e-06,6.32028312175179e-06,"4791/3726/2209/4792/110117499/2213/2353/2354/3552/1540/2534/1435/5971/3725/814/8503/5336/1436/8061/7124/9021/8651/6772/6773/3456/799/10379",27
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","35/577","162/6555",0.216049382716049,2.45442582964247,5.82317582684606,3.73833455917232e-07,6.90608121194465e-06,6.90608121194465e-06,"5155/3107/7098/1827/285/3569/4792/110117499/5610/2353/3133/3106/59345/355/3383/3665/3725/148022/8503/2921/2920/7538/836/5336/3105/3134/2919/3576/6772/23533/94235/3717/6773/3456/10379",35
