"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENSEMBL","sig","dir","nlp","Mean_Ctrl","Mean_ZIKV"
"2674",2413.34447987214,2.62823886283183,0.0641657241656849,0,0,"GFRA1","ENSG00000151892",TRUE,"Up",324.87478891386,669.468662995191,4157.22029674908
"1734",2346.27752570831,2.5737169787278,0.0618656428160838,0,0,"DIO2","ENSG00000211448",TRUE,"Up",324.87478891386,670.148892301019,4022.4061591156
"1009",1859.5459468052,5.36806221123832,0.10287220422377,0,0,"CDH11","ENSG00000140937",TRUE,"Up",324.87478891386,86.8513009960624,3632.24059261434
"5063",1341.79124889431,3.32530609580108,0.0866103754049175,1.77863632502849e-322,3.12827544977302e-319,"PAK3","ENSG00000077264",TRUE,"Up",318.504695013589,240.483121448801,2443.09937633981
"56944",794.586453565047,4.62132529918104,0.124784309187541,2.72359885850179e-299,3.68481974794842e-296,"OLFML3","ENSG00000116774",TRUE,"Up",295.433583751872,59.4615100029044,1529.71139712719
"290",1039.693527261,3.1223133721397,0.0856530002963992,5.28677067968515e-292,6.64169447959303e-289,"ANPEP","ENSG00000166825",TRUE,"Up",288.177721105985,213.988354126855,1865.39870039515
"558",7782.10826816889,1.72404988299165,0.0506779316349394,1.20357183953058e-254,9.62200977893808e-252,"AXL","ENSG00000167601",TRUE,"Up",251.016734206056,3609.7321157807,11954.4844205571
"6657",736.863090078591,2.9249828915827,0.0946423563747632,2.23223716590051e-210,1.22689335230807e-207,"SOX2","ENSG00000181449",TRUE,"Up",206.911193186676,169.995635086519,1303.73054507066
"1289",7990.39231921084,1.60225603883271,0.0525110515814003,2.01750009317982e-205,1.04364093055431e-202,"COL5A1","ENSG00000130635",TRUE,"Up",201.981448896642,3953.76597645415,12027.0186619675
"6507",742.036842292747,6.70923030057896,0.223312541209939,7.96910552177522e-198,3.89335077547174e-195,"SLC1A3","ENSG00000079215",TRUE,"Up",194.409676466308,13.8913592270155,1470.18232535848
"2202",2441.14522998756,1.77185294539551,0.0597197747205639,3.73242263225272e-194,1.7742121420557e-191,"EFEMP1","ENSG00000115380",TRUE,"Up",190.750994452928,1100.45866888834,3781.83179108678
"8912",2999.10040633618,1.69344399489852,0.0575908323469826,5.53360570805074e-191,2.56118571561043e-188,"CACNA1H","ENSG00000196557",TRUE,"Up",187.591558929013,1412.41706224237,4585.78375042999
"857",6670.80332448666,1.42546479337289,0.0486888781205355,2.5230771206436e-189,1.10939700994699e-186,"CAV1","ENSG00000105974",TRUE,"Up",185.954913008969,3613.44420689072,9728.1624420826
"3084",5467.77870748414,1.35820231688848,0.0470519007147852,3.6388255829525e-184,1.48836428727834e-181,"NRG1","ENSG00000157168",TRUE,"Up",180.827290759253,3065.16952638608,7870.38788858219
"8325",2573.0435203512,1.90695429869724,0.066497180007454,1.25209819842399e-181,5.00497798042752e-179,"FZD8","ENSG00000177283",TRUE,"Up",178.300597828874,1077.39394566392,4068.69309503848
"286",638.0396972708,2.97616008475077,0.104607111954539,3.84030511342785e-178,1.35086572669938e-175,"ANK1","ENSG00000029534",TRUE,"Up",174.869387816819,140.516818153222,1135.56257638838
"586",923.067908360374,2.42399652444904,0.0859854567248781,1.89822418048283e-175,6.29923903515698e-173,"BCAT1","ENSG00000060982",TRUE,"Up",172.200711911307,287.333067143738,1558.80274957701
"7168",16981.0301685571,1.29249389058499,0.0468833709010996,3.19388791252632e-168,1.0213472837366e-165,"TPM1","ENSG00000140416",TRUE,"Up",164.990826561766,9835.80019878147,24126.2601383327
"1435",2502.82895095283,1.5879114254137,0.0587383673379333,9.44372172286389e-162,2.9660031725309e-159,"CSF1","ENSG00000184371",TRUE,"Up",158.527828388772,1245.11118310681,3760.54671879885
"644943",546.848193658088,2.57801260293648,0.0994245830782726,4.07903585478322e-149,1.08700125172617e-146,"RASSF10","ENSG00000189431",TRUE,"Up",145.963769955806,155.310154000256,938.38623331592
"6876",1933.06040580148,1.628307322009,0.0629319625637426,9.39032502768991e-149,2.46503039682105e-146,"TAGLN","ENSG00000149591",TRUE,"Up",145.608177720975,944.48434876689,2921.63646283607
"23768",352.48688663895,3.88081844661198,0.149719833262661,6.11282750094592e-148,1.55815087082082e-145,"FLRT2","ENSG00000185070",TRUE,"Up",144.807390493266,42.512690048519,662.461083229382
"85349",10700.606115555,1.25568748262507,0.0495613805010996,1.68190291159634e-142,3.89227742225744e-140,"KRT87P","ENSG00000135477",TRUE,"Up",139.409796212941,6308.76482301672,15092.4474080933
"5924",313.531321665321,4.25911495393916,0.172304199534435,3.25904046245917e-136,6.58850616709561e-134,"RASGRF2","ENSG00000113319",TRUE,"Up",133.18121304321,32.1381493844461,594.924493946196
"80781",8455.29321613455,1.18741546865894,0.0483662848201786,7.18456964432183e-134,1.40402456560369e-131,"COL18A1","ENSG00000182871",TRUE,"Up",130.852625293479,5154.14403012989,11756.4424021392
"7091",527.664630931956,2.33252985868445,0.0975508454938,1.51638773925084e-127,2.54002167218513e-125,"TLE4","ENSG00000106829",TRUE,"Up",124.595162577841,175.052808564183,880.276453299729
"24147",1228.97615945774,1.70899879011096,0.0714705308049586,3.50931040577806e-127,5.82280673743627e-125,"FJX1","ENSG00000179431",TRUE,"Up",124.234867624156,573.135848830054,1884.81647008542
"55959",2636.46073454987,1.26232980210501,0.0529818562897945,2.26525084882175e-126,3.72347961953991e-124,"SULF2","ENSG00000196562",TRUE,"Up",123.429051018924,1549.87294951484,3723.04851958491
"677",5568.08658995581,1.14122226325488,0.0482027620977326,1.09203951242476e-124,1.77840656893766e-122,"ZFP36L1","ENSG00000185650",TRUE,"Up",121.749968946143,3471.70570167062,7664.467478241
"9536",2565.51494978015,1.32976912028469,0.0565309435768138,3.11387270895671e-123,5.02447644083768e-121,"PTGES","ENSG00000148344",TRUE,"Up",120.298909185788,1455.62654958526,3675.40334997504
"57597",500.911485407113,2.28046050734295,0.0986132009804606,2.12590981523293e-119,3.30889396728467e-117,"BAHCC1","ENSG00000266074",TRUE,"Up",116.48031714948,170.747384857929,831.075585956298
"7837",564.542014044258,2.16116855092044,0.0941345510601802,5.65785603431004e-118,8.72897999398641e-116,"PXDN","ENSG00000130508",TRUE,"Up",115.059036501869,207.060930352746,922.02309773577
"3756",496.429841080302,2.4832656029073,0.108747428906513,2.53964485080809e-116,3.8506270375873e-114,"KCNH1","ENSG00000143473",TRUE,"Up",113.414468544052,149.773805994028,843.085876166576
"205860",1051.01391382692,1.68509183576437,0.0741324378237822,1.67244777899285e-115,2.49279758787511e-113,"TRIML2","ENSG00000179046",TRUE,"Up",112.603312984247,497.509100584339,1604.51872706949
"84951",2268.02544451883,1.35481059270413,0.0595377716565531,1.75234903357762e-115,2.58994242038346e-113,"TNS4","ENSG00000131746",TRUE,"Up",112.586709891049,1271.18253912995,3264.86834990771
"26227",4042.7478834347,1.34453793572952,0.0595576843646533,7.71638060506163e-114,1.07710874668114e-111,"PHGDH","ENSG00000092621",TRUE,"Up",110.967740447399,2281.5508755916,5803.9448912778
"56937",8451.23305399366,1.04207990128703,0.0463204227272141,8.25720090882739e-113,1.12579573321284e-110,"PMEPA1","ENSG00000124225",TRUE,"Up",109.948540401657,5516.48478068164,11385.9813273057
"1953",523.171565332023,2.19019565050219,0.0993093075837107,3.92446814295887e-109,5.15101087301198e-107,"MEGF6","ENSG00000162591",TRUE,"Up",106.288107533388,188.50398332773,857.839147336316
"4915",624.129850431927,5.21345037907862,0.236372646691506,1.44623584844359e-108,1.85667124835226e-106,"NTRK2","ENSG00000148053",TRUE,"Up",105.731264987841,32.1565298445672,1216.10317101929
"1000",3650.72066038414,1.4992058951537,0.0681117935684039,3.32886618671129e-108,4.24261583274479e-106,"CDH2","ENSG00000170558",TRUE,"Up",105.372366291654,1899.17281097419,5402.26850979409
"3778",660.333640683501,1.97362444221921,0.0902562760859032,9.13730247582908e-107,1.14790625674916e-104,"KCNMA1","ENSG00000156113",TRUE,"Up",103.940093576954,265.52658153162,1055.14069983538
"4502",2763.19333555183,1.48012740317209,0.0700684567283522,3.71941817521248e-100,4.24786538088553e-98,"MT2A","ENSG00000125148",TRUE,"Up",97.3718292549362,1456.44646039333,4069.94021071033
"1004",423.881167625916,2.33612659222202,0.111017292116729,9.55504866699074e-100,1.08422061906473e-97,"CDH6","ENSG00000113361",TRUE,"Up",96.964882337822,140.992693590993,706.76964166084
"3248",2404.06775376888,1.26573136013977,0.0605929648041999,1.02553480167591e-97,1.14886026062904e-95,"HPGD","ENSG00000164120",TRUE,"Up",94.9397327926593,1407.09529867231,3401.04020886545
"9953",242.047086269334,3.44906501969445,0.167801842277505,5.23703068592066e-95,5.68573430271436e-93,"HS3ST3B1","ENSG00000125430",TRUE,"Up",92.2452134389757,40.5316295936152,443.562542945052
"1282",2945.59018814557,1.24950172724148,0.0608564408719425,1.81855038525131e-94,1.95028440096342e-92,"COL4A1","ENSG00000187498",TRUE,"Up",91.7099020528616,1738.73947454793,4152.4409017432
"401498",225.153584828561,3.98382012570903,0.193888883615279,7.93174765361515e-94,8.40382998384236e-92,"TMEM215","ENSG00000188133",TRUE,"Up",91.0755227422996,25.3188296125512,424.988340044572
"55714",1147.04317163652,1.62498763439711,0.0800846086042506,2.86667151020653e-92,2.9658246189125e-90,"TENM3","ENSG00000218336",TRUE,"Up",89.5278545341204,556.603060600617,1737.48328267243
"7042",2817.43906628795,1.17254931657741,0.0584291688203952,2.13450511574379e-90,2.14523862718295e-88,"TGFB2","ENSG00000092969",TRUE,"Up",87.6685243917288,1727.41576692039,3907.46236565552
"440",1986.52367097106,1.16601939948642,0.0581834699260374,3.33412739798428e-90,3.33185412930384e-88,"ASNS","ENSG00000070669",TRUE,"Up",87.4773140205381,1222.80403231853,2750.24330962359
"10501",1134.7436818196,1.54671097597628,0.0787829408122206,1.0820105550814e-86,1.03426095884629e-84,"SEMA6B","ENSG00000167680",TRUE,"Up",83.9853698687005,576.263200133721,1693.22416350549
"115701",2100.97968243911,1.0996901429135,0.0563707295646796,1.73519507326182e-85,1.64078553486714e-83,"ALPK2","ENSG00000198796",TRUE,"Up",82.7849481813544,1334.04269423628,2867.91667064195
"2200",972.752825649492,1.6915400237232,0.0878192470576442,2.01452933312503e-83,1.84539280786474e-81,"FBN1","ENSG00000166147",TRUE,"Up",80.7339111763176,454.880538078992,1490.62511321999
"1948",212.633130849124,3.33201323543173,0.174319609403473,8.44452789957952e-83,7.61653111270793e-81,"EFNB2","ENSG00000125266",TRUE,"Up",80.1182427795296,39.1413908030362,386.124870895211
"10398",343.883318617033,2.26443900654929,0.119101593850277,4.86588398817718e-82,4.34422170477463e-80,"MYL9","ENSG00000101335",TRUE,"Up",79.3620880188927,119.699554316918,568.067082917148
"1002",476.043490129031,1.8373721736352,0.0965791428675485,7.88920295787893e-82,7.00784351632195e-80,"CDH4","ENSG00000179242",TRUE,"Up",79.1544156044365,208.265428704027,743.821551554036
"8728",812.865629849186,1.5741680436185,0.0832327674293829,1.14792107359989e-80,1.00948179212374e-78,"ADAM19","ENSG00000135074",TRUE,"Up",77.9959015099561,405.383985160111,1220.34727453826
"2037",2392.40480442031,1.05607300436499,0.0560691077783138,6.57705733303202e-80,5.75508877479439e-78,"EPB41L2","ENSG00000079819",TRUE,"Up",77.2399479727977,1550.55360544572,3234.2560033949
"1301",1332.99512573481,1.4090432165526,0.0755127306614966,1.68798660892617e-78,1.44821016964846e-76,"COL11A1","ENSG00000060718",TRUE,"Up",75.8391684071339,724.24572772858,1941.74452374105
"970",1007.30018558905,1.35058718606819,0.0725989702118089,3.13777606515491e-78,2.66604857168815e-76,"CD70","ENSG00000125726",TRUE,"Up",75.5741319426101,566.419676287781,1448.18069489031
"144165",307.096206313677,2.18991123857183,0.119215735682433,2.68025547942446e-76,2.20281931645409e-74,"PRICKLE1","ENSG00000139174",TRUE,"Up",73.6570211238593,109.247676843544,504.94473578381
"10536",835.292200097835,1.40873719421919,0.0766603971145182,2.86146803220262e-76,2.34081394187812e-74,"P3H3","ENSG00000110811",TRUE,"Up",73.6306331045549,454.565357779669,1216.019042416
"107986827",2183.18123046041,1.06417450487753,0.0580993508962703,9.40921830239921e-76,7.66154312512025e-74,"CZ1P-ASNS",NA,TRUE,"Up",73.115683749528,1410.14525758164,2956.21720333917
"3763",327.317027254065,2.09553162130392,0.116584579440103,2.9885585598043e-73,2.29531737772218e-71,"KCNJ6","ENSG00000157542",TRUE,"Up",70.6391572552842,122.769989512938,531.864064995191
"1806",374.092909869046,2.03965596659665,0.114020017816073,9.2594249924766e-73,7.0499899033627e-71,"DPYD","ENSG00000188641",TRUE,"Up",70.1518115049826,146.712347715542,601.473472022549
"28951",176.563143505771,3.34403759327604,0.188500693143196,4.3269512268512e-71,3.22467873634996e-69,"TRIB2","ENSG00000071575",TRUE,"Up",68.4915135461389,30.5480868733467,322.578200138195
"153478",231.12717045902,2.64095745140985,0.149389564226259,5.50318283154819e-71,4.08396538570758e-69,"PLEKHG4B","ENSG00000153404",TRUE,"Up",68.3889179475009,63.4565716654482,398.797769252591
"8744",618.955727431602,1.49181222603637,0.084545905036188,1.25919243790647e-70,9.22778191579121e-69,"TNFSF9","ENSG00000125657",TRUE,"Up",68.0349026779012,322.799322981333,915.112131881871
"6567",1115.33672428405,1.23636267316979,0.0704448070321795,9.3731619083972e-70,6.72878251611795e-68,"SLC16A2","ENSG00000147100",TRUE,"Up",67.1720635084898,661.668754671912,1569.00469389619
"860",158.49437849279,3.4951723382613,0.200815697336529,8.68641586716708e-69,6.13560972978854e-67,"RUNX2","ENSG00000124813",TRUE,"Up",66.2121422725254,25.8583022715048,291.130454714076
"875",769.447430828334,1.4422498843318,0.0830950765261785,1.29042583617252e-68,9.04223490302878e-67,"CBS","ENSG00000160200",TRUE,"Up",66.0437242148682,414.49620253012,1124.39865912655
"3037",147.738852170091,3.84160864539694,0.221792328961004,1.07325402934962e-67,7.34489955961136e-66,"HAS2","ENSG00000170961",TRUE,"Up",65.1340141387444,18.1442306636672,277.333473676516
