"GeneID","SYMBOL","ENSEMBL","ENTREZID","ZIKV_1","ZIKV_2","ZIKV_3","Control_1","Control_2","Control_3"
"ENSG00000000003","TSPAN6","ENSG00000000003","7105",462.689446429867,598.547120231004,443.046527674565,1859.6000777406,1680.29296314465,1944.6488376031
"ENSG00000000419","DPM1","ENSG00000000419","8813",1773.46641366139,2621.46289469289,1702.56451349226,1064.18713782169,1032.16717448364,1426.64194199703
"ENSG00000000457","SCYL3","ENSG00000000457","57147",357.869640488089,311.417994439029,310.132569372195,227.119156161386,278.40762468726,260.418767189934
"ENSG00000000460","FIRRM","ENSG00000000460","55732",196.93418086031,198.64824714913,243.042666610047,335.223907347373,396.574204940373,467.998943935534
"ENSG00000000938","FGR","ENSG00000000938","2268",46.5865804185679,32.9634645924321,17.7218611069826,0,0.89520136555389,0
"ENSG00000000971","CFH","ENSG00000000971","3075",278.460696592803,359.99573173314,370.893236024707,719.045363393033,1294.46117459093,2039.94700965448
"ENSG00000001036","FUCA2","ENSG00000001036","2519",528.334173383304,576.860630367562,502.541347105149,1328.00240218382,1590.77282658926,1531.37557662776
"ENSG00000001084","GCLC","ENSG00000001084","2729",773.972506499389,810.207261298199,773.432652597597,2968.41761742807,3789.38738038962,3645.86274065908
"ENSG00000001167","NFYA","ENSG00000001167","4800",351.516924976467,346.116378220537,383.55170824398,712.102856436135,607.841727211091,814.280420597511
"ENSG00000001460","STPG1","ENSG00000001460","90529",293.283699453257,321.827509573482,274.68884715823,248.938463740209,166.507453993024,246.265573320916
"ENSG00000001461","NIPAL3","ENSG00000001461","57185",355.752068650882,234.214090525175,293.67655548714,662.513521029719,467.295112819131,501.966609221177
"ENSG00000001497","LAS1L","ENSG00000001497","81887",1015.37569594106,983.699180205737,1093.69199974521,2698.65163281716,3489.49492292906,3439.22611017141
"ENSG00000001561","ENPP4","ENSG00000001561","22875",117.525236965023,111.034828100824,100.001930532259,140.833712554222,139.651413026407,121.717467273556
"ENSG00000001617","SEMA3F","ENSG00000001617","6405",173.640890651026,138.79353512603,174.686916625971,1207.00442379217,1299.83238278425,1316.24702981869
"ENSG00000001626","CFTR","ENSG00000001626","1080",1.05878591860381,11.2769747289899,3.79754166578198,18.8439474544381,15.2184232144161,17.9273789007563
"ENSG00000001629","ANKIB1","ENSG00000001629","54467",1233.48559517344,1038.34913466161,1091.16030530136,2629.22656324818,2181.60572785483,2330.55925709832
"ENSG00000001630","CYP51A1","ENSG00000001630","1595",113.290093290608,82.4086614810802,88.609305534913,222.160222620744,941.751836562692,272.684868543083
"ENSG00000001631","KRIT1","ENSG00000001631","889",244.579547197481,287.129125791974,260.76452771703,162.653020133045,192.468293594086,184.935066555171
"ENSG00000002016","RAD52","ENSG00000002016","5893",678.681773825045,563.848736449496,721.532916498577,353.076068093683,495.046355151301,464.224758903796
"ENSG00000002330","BAD","ENSG00000002330","572",189.522679430083,267.177555117607,175.952763847899,208.275208706948,523.692798849026,224.564009388421
"ENSG00000002549","LAP3","ENSG00000002549","51056",502.923311336812,715.654165493591,505.073041549004,1195.10298329463,1433.21738625178,1585.15771333003
"ENSG00000002586","CD99","ENSG00000002586","4267",1443.125207057,1811.25563339469,1370.9125413473,4819.09161479551,5278.10725130574,4221.42595799915
"ENSG00000002587","HS3ST1","ENSG00000002587","9957",33.8811493953221,51.1801160777235,45.5704999893838,46.6139752820311,39.3888600843712,54.7256829602035
"ENSG00000002745","WNT16","ENSG00000002745","51384",46.5865804185679,50.3126564831858,35.4437222139652,1.98357341625664,0,1.88709251586909
"ENSG00000002746","HECW1","ENSG00000002746","23072",113.290093290608,87.6134190483064,73.419138871785,319.35532001732,317.796484771631,288.72515492797
"ENSG00000002822","MAD1L1","ENSG00000002822","8379",16.940574697661,5.20475756722612,26.5827916604739,9.91786708128322,12.5328191177545,2.83063877380363
"ENSG00000002834","LASP1","ENSG00000002834","3927",3838.09895493883,3681.49851921794,3859.56817965642,11708.0420894548,12612.4920392888,12317.9963973355
"ENSG00000002919","SNX11","ENSG00000002919","29916",1079.96163697589,1590.92089638212,1216.47918027216,657.554587489077,765.397167548576,809.562689307839
"ENSG00000003056","M6PR","ENSG00000003056","4074",2106.98397802159,2430.6217838946,2386.12201333301,2932.71329593545,2418.83408972661,3039.16249680717
"ENSG00000003096","KLHL13","ENSG00000003096","90293",12.7054310232458,18.2166514852914,17.7218611069826,55.540055655186,81.463324265404,80.2014319244362
"ENSG00000003137","CYP26B1","ENSG00000003137","56603",313.400631906729,357.393352949527,478.49024988853,1000.71278850148,1247.01550221657,1007.70740347409
"ENSG00000003147","ICA1","ENSG00000003147","3382",39.1750789883411,78.9388231029295,46.8363472113111,77.3593632340091,64.4544983198801,88.6933482458471
"ENSG00000003249","DBNDD1","ENSG00000003249","79007",359.987212325297,441.536933619682,430.388055455292,1958.77874855344,1452.01661492841,1996.5438817895
"ENSG00000003393","ALS2","ENSG00000003393","57679",1109.6076426968,1113.81811938639,1122.80648584954,1021.54030937217,1222.84506534661,1109.61039933102
"ENSG00000003400","CASP10","ENSG00000003400","843",1112.78400045261,743.412872518797,855.712722022874,193.398408085023,157.555440337485,169.838326428218
"ENSG00000003402","CFLAR","ENSG00000003402","8837",8652.39852683037,7523.47706342536,7936.86208148435,3469.26990503287,3088.44471116092,2631.55051337944
"ENSG00000003436","TFPI","ENSG00000003436","7035",1310.77696723152,1469.47655314684,1369.64669412537,4177.40561463649,1968.547802853,2607.01831067315
"ENSG00000003509","NDUFAF7","ENSG00000003509","55471",556.921393185607,719.99146346628,596.214041527772,747.807177928755,899.67737238166,956.755905545628
"ENSG00000003756","RBM5","ENSG00000003756","10181",2508.26384117244,2231.97353674547,2611.44281883608,1188.16047633773,1204.94103803554,1136.97324081113
"ENSG00000003987","MTMR7","ENSG00000003987","9108",134.465811662685,110.167368506286,106.331166641896,45.6221885739028,20.5896314077395,36.7983040594472
"ENSG00000003989","SLC7A2","ENSG00000003989","6542",737.973785266859,752.087468464174,827.864083140473,205.299848582563,436.858266390298,478.377952772814
"ENSG00000004059","ARF5","ENSG00000004059","381",692.445990766895,1178.01012938218,855.712722022874,1899.27154606574,2327.52355044011,2182.4224946026
"ENSG00000004139","SARM1","ENSG00000004139","23098",305.989130476503,143.130833098718,253.169444385466,231.086302993899,247.970778258428,183.991520297236
"ENSG00000004142","POLDIP2","ENSG00000004142","26073",2513.55777076546,3128.92675749744,2602.58188828259,4304.35431327692,4755.30965382226,5191.39151115586
"ENSG00000004399","PLXND1","ENSG00000004399","23129",718.91563873199,466.693261861275,681.025805396903,5838.64835075143,3674.80160559872,3603.40315905202
"ENSG00000004455","AK2","ENSG00000004455","204",2273.21336724239,2895.5801265668,2401.31217999614,2680.79947207085,3951.41882755487,3678.88685968679
"ENSG00000004468","CD38","ENSG00000004468","952",222.345042906801,281.05690863021,312.66426381605,185.464114419996,256.922791913966,317.031542666007
"ENSG00000004478","FKBP4","ENSG00000004478","2288",1513.00507768485,2085.3728652686,1697.50112460455,4250.79783103799,7091.78521791792,6394.4129900224
"ENSG00000004487","KDM1A","ENSG00000004487","23028",1201.72201761533,1380.995674504,1351.92483301839,3479.18777211415,3784.01617219629,3334.49247554068
"ENSG00000004534","RBM6","ENSG00000004534","10180",1666.5290358824,1390.53773004391,1673.45002738793,1403.37819200158,1685.66417133798,1532.3191228857
"ENSG00000004660","CAMKK1","ENSG00000004660","84254",259.402550057935,221.20219660711,278.486388824012,1289.32272056682,1200.46503120777,979.401015736057
"ENSG00000004700","RECQL","ENSG00000004700","5965",580.214683394891,493.584509291944,569.631249867298,1123.69434030939,1512.89030778607,1499.29500385799
"ENSG00000004766","VPS50","ENSG00000004766","55610",205.40446820914,234.214090525175,218.991569393428,506.803007853572,582.776088975583,532.160089475083
"ENSG00000004776","HSPB6","ENSG00000004776","126393",50.8217240929831,23.4214090525175,53.1655833209478,9.91786708128322,12.5328191177545,17.9273789007563
"ENSG00000004777","ARHGAP33","ENSG00000004777","115703",204.345682290536,218.599817823497,337.981208254597,378.862522505019,490.570348323532,331.184736535025
"ENSG00000004779","NDUFAB1","ENSG00000004779","4706",727.385926080821,1241.33467978343,832.927472028182,988.811348003937,1751.90907238896,1592.70608339351
"ENSG00000004799","PDK4","ENSG00000004799","5166",124.93673839525,154.407807827708,137.977347190079,1455.94288753238,1939.90135915528,2571.16355287163
"ENSG00000004838","ZMYND10","ENSG00000004838","51364",35.9987212325297,40.7706009432713,44.3046527674565,19.8357341625664,20.5896314077395,21.7015639324945
"ENSG00000004848","ARX","ENSG00000004848","170302",37.0575071511335,31.2285454033567,21.5194027727646,35.7043214926196,103.843358404251,86.806255729978
"ENSG00000004864","SLC25A13","ENSG00000004864","10165",642.683052592516,722.593842249893,598.745735971626,1402.38640529345,1691.0353795313,1655.92368267512
"ENSG00000004866","ST7","ENSG00000004866","7982",563.27410869723,529.150352667989,536.719222097187,438.369724992718,301.682860191661,438.749009939563
"ENSG00000004897","CDC27","ENSG00000004897","996",2230.86193049824,2310.04490025386,2288.65177724461,3260.00290961779,2880.75799435242,3427.9035550762
"ENSG00000004948","CALCR","ENSG00000004948","799",87.8792312441166,64.1920099957888,69.621597206003,1.98357341625664,0.89520136555389,0.943546257934544
"ENSG00000004961","HCCS","ENSG00000004961","3052",1609.3545962778,2414.14005159838,1838.01016623848,1214.93871745719,1311.47000053645,1444.56932089779
"ENSG00000004975","DVL2","ENSG00000004975","1856",904.203174487658,926.446846966249,1040.52641642426,2268.21620148947,1893.35088814648,2233.37399253107
"ENSG00000005007","UPF1","ENSG00000005007","5976",2659.67022753278,2328.26155173915,2917.77784654249,3252.06861595277,3613.92791274105,3077.84789338248
"ENSG00000005020","SKAP2","ENSG00000005020","8935",761.267075476143,641.05264036335,682.29165261883,1492.63899573312,1214.78825305663,1421.92421070736
"ENSG00000005022","SLC25A5","ENSG00000005022","292",1442.0664211384,2676.9803087433,1775.98365236404,10478.2265713757,12575.788783301,14138.0971288912
"ENSG00000005059","MCUB","ENSG00000005059","55013",143.994884930119,170.889540123924,125.318874970805,666.480667862232,649.02099002657,657.651741780377
"ENSG00000005073","HOXA11","ENSG00000005073","3207",103.761020023174,140.528454315105,112.660402751532,23.8028809950797,11.6376177522006,10.37900883728
"ENSG00000005075","POLR2J","ENSG00000005075","5439",979.376974708529,1692.41366894303,1016.47531920764,1037.40889670222,768.082771645238,1221.89240402523
"ENSG00000005100","DHX33","ENSG00000005100","56919",1333.0114715222,1327.21317964266,1536.73852741978,2237.47081353749,2362.43640369672,2373.01883870538
"ENSG00000005108","THSD7A","ENSG00000005108","221981",416.102866011299,328.767186329783,506.338888770931,2740.30667455855,2857.48275884802,2619.28441202629
"ENSG00000005156","LIG3","ENSG00000005156","3980",606.684331359986,603.75187779823,683.557499840757,1660.25094940681,1718.78662186347,1724.80255950435
"ENSG00000005175","RPAP3","ENSG00000005175","79657",971.965473278302,1157.19109911327,1019.0070136515,1471.81147486243,1599.7248402448,1955.02784644038
"ENSG00000005187","ACSM3","ENSG00000005187","6296",23.2932902092839,19.9515706743668,24.0510972166192,181.496967587483,251.551583720643,284.007423638298
"ENSG00000005189","REXO5","ENSG00000005189","81691",689.269633011083,675.751024144858,654.443013736429,225.135582745129,221.114737291811,245.322027062981
"ENSG00000005194","CIAPIN1","ENSG00000005194","57019",1348.89326030126,1751.40092137159,1579.77733296531,1400.40283187719,2185.18653331705,1829.53619413508
"ENSG00000005206","SPPL2B","ENSG00000005206","56928",782.442793848219,589.005064691089,713.937833167013,1108.81753968746,1612.25765936256,1101.11848300961
"ENSG00000005238","ATOSB","ENSG00000005238","80256",859.734165906298,924.711927777174,860.776110910583,655.571014072821,488.779945592424,537.82136702269
