"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","124/3218","174/6538",0.71264367816092,1.44787581349164,5.89495330290723,1.83814974680817e-09,6.45190561129666e-07,6.45190561129666e-07,"2661/4283/7043/6352/57007/8795/8764/2826/7124/132014/3460/53342/9560/163702/6376/3601/2919/3575/8807/3603/2920/650/10148/64109/4804/6348/3576/3590/6349/151449/654/8793/7852/3606/1440/5618/8744/8794/23529/84957/269/4049/1437/285613/656/282617/659/6347/943/5008/6364/3595/3596/3592/10913/3626/8741/6351/9966/3953/27242/3587/83729/3597/4055/4352/3624/1435/1896/3456/3553/3625/4050/282618/115650/3574/958/10673/7133/353500/53833/51561/3569/94/3552/60401/9235/6361/8740/1436/6373/10663/85480/8809/130399/282616/7292/2660/3604/9180/7132/51554/355/90/8742/3627/7048/7046/58985/92/653/146433/10344/939/8784/2921/55504/3567/652/970/1233/6387/3976/4803",124
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","43/3218","51/6538",0.843137254901961,1.7129991835143,5.03228688891381,1.78232435615946e-07,3.12797924505985e-05,3.12797924505985e-05,"4283/6352/57007/8795/8764/2826/7124/9560/6376/2919/8807/2920/6348/3576/6349/8793/7852/3606/8794/4049/6347/6364/6351/3587/4055/1435/7133/53833/3569/6361/8740/1436/6373/8809/7132/51554/3627/58985/146433/10344/2921/1233/6387",43
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","53/3218","68/6538",0.779411764705882,1.58352831499287,4.76186929962474,9.92852667599473e-07,0.000116163762109138,0.000116163762109138,"7124/85235/8338/128312/114483833/8339/6634/8340/440093/6737/716/653604/717/8362/55766/727/8353/8345/8367/8329/733/94239/8364/1991/121504/8344/8294/317772/9555/81/958/3111/3012/715/8356/8370/3021/8357/8970/8365/720/440689/8349/3112/2209/3020/8348/8347/8969/8341/3015/3109/8358",53
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","70/3218","97/6538",0.721649484536082,1.46617288063919,4.55375271451521,3.14382228577504e-06,0.00023205301690383,0.00023205301690383,"6382/10686/6385/3695/54413/149461/1000/152404/1001/8516/9074/4267/9369/2734/3685/6404/9379/3688/84189/1013/8174/26047/1366/58494/137075/3689/3684/1272/83700/1462/3383/3655/23308/9672/3696/933/958/3111/925/25945/50848/24146/84628/5802/3112/83692/3107/5797/1002/5792/3106/5818/3105/7412/10666/4897/23705/3135/9080/3676/3134/9075/999/100506658/57555/3109/64115/80380/29126/6614",70
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","45/3218","57/6538",0.789473684210526,1.60397108370678,4.50864232892734,3.53353286281249e-06,0.00023205301690383,0.00023205301690383,"2243/5104/1191/1379/2244/5329/716/84830/2159/2161/717/727/2149/2153/719/5345/1675/462/733/7056/10878/5265/2152/3689/3684/3687/2151/1361/715/720/2165/10544/10747/2157/3075/5627/4179/629/5340/2147/624/5624/7035/7448/2266",45
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","115/3218","174/6538",0.660919540229885,1.34278805283499,4.51178541771038,3.96671823767231e-06,0.00023205301690383,0.00023205301690383,"797/3352/5734/5739/1815/2150/2893/57053/283869/153/4828/154/2562/9294/1131/2797/4987/3972/2894/10424/9127/53637/4922/66004/2925/64106/5020/339403/3363/22953/2696/2558/2905/6866/10888/727/5540/9340/5618/79924/2641/552/9568/27346/6752/147/2902/2149/719/2564/2862/151/257313/5028/10161/5031/136/1395/7068/7425/2796/4886/5032/100996758/3953/706/9248/6751/7067/1145/5021/4161/6343/55879/2151/2847/130574/4985/1144/1901/1812/3269/11054/5029/84634/2695/1139/1133/3814/3375/1325/7349/3274/2901/799/6915/2743/5340/2147/7434/3362/134/6869/624/8811/1902/2570/1138/286530/133/2918/11255/116444/55584/185",115
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","121/3218","187/6538",0.647058823529412,1.31462728037144,4.29743526822548,1.07797201525002e-05,0.000540525967646795,0.000540525967646795,"1956/4790/115004/6143/3725/7124/2243/6138/6205/2244/4793/23118/7097/6235/6202/5295/6207/6171/5335/6176/6203/8829/716/6208/6181/717/6144/6233/7311/6228/6125/64135/3576/6122/727/6300/6133/1440/6204/3921/6147/6192/6229/719/5602/5595/23586/1675/4792/5582/6189/6134/6155/1437/733/6130/1636/7189/6230/6193/6347/4939/6227/6158/6132/3592/340061/1839/5291/116832/4940/6157/3456/6194/3553/3716/8503/3654/3569/6137/4600/114548/6206/715/6123/6188/720/6222/6218/2165/5336/6224/9636/5601/10747/6175/6223/4615/6772/6129/7132/2353/6187/6191/3627/4599/4736/5600/6124/629/2147/9045/2197/10379/23521/6146/6152/6142/6128/2266/185",121
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","27/3218","32/6538",0.84375,1.71424409571162,3.98729014370462,3.82433883228253e-05,0.00167792866266396,0.00167792866266396,"2941/128/1571/373156/2948/2950/4258/2947/221/54578/2946/54577/4129/4259/54658/218/9446/316/1559/54600/4257/126/4128/1576/1549/7364/1548",27
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","123/3218","195/6538",0.630769230769231,1.28153176841803,3.92925829626045,5.35646204918134e-05,0.00192002543087918,0.00192002543087918,"1956/2324/492/776/153/2246/777/6262/154/2247/1131/5332/7125/4485/5333/115/113026/4486/219931/100507027/5335/2774/5567/9127/6547/80271/489/8912/5532/2925/778/3363/22953/8913/5260/2905/5257/5255/91807/109/818/7852/51196/444/8877/5979/6786/552/163688/147/2902/2149/340156/814/5582/5136/7416/6543/4916/136/5137/57172/3710/844/293/2778/57620/80228/488/26281/5330/7419/2769/7423/26291/6261/8911/5021/3707/107/805/4638/292/1812/2065/57118/5155/3269/4772/1139/2264/255231/93129/113/1133/5336/6588/5256/8817/2250/80310/3274/100130933/6915/4233/5154/3362/2064/6869/624/53373/9965/4842/3270/487/4776/775/4803/116444/808/185/2668/2253",123
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","32/3218","40/6538",0.8,1.62535736482287,3.90554486885353,5.90223934595407e-05,0.00192002543087918,0.00192002543087918,"2941/128/1571/27294/8574/873/373156/2948/2950/4258/2947/22977/221/54578/2946/1543/54577/4259/54658/218/9446/1559/2052/54600/246181/4257/126/1645/1576/1549/7364/1548",32
