"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0033260","nuclear DNA replication",33,-0.678583503776666,-2.58377789934134,1.43361028037607e-07,2.79524895665345e-05,2.79430292395891e-05,1704,"tags=45%, list=10%, signal=41%","1763/5111/51053/5422/4172/2237/8318/5888/641/3978/7083/81620/4173/4171/4175",0.690132458796796
"GO:0006261","DNA-templated DNA replication",159,-0.511982472720018,-2.57637660036344,1e-10,2.35682171765483e-07,2.35602406762985e-07,4537,"tags=55%, list=27%, signal=40%","254394/546/5932/10111/7486/10293/5001/29980/4683/11284/50485/146956/6419/22891/144455/10721/675/1642/9837/4999/64863/57523/5982/8451/8099/5985/4361/122769/10498/5983/5424/378708/23595/5965/5442/7517/64785/5427/5558/3980/2021/57804/580/79892/57418/10714/64710/11073/1763/5111/84296/56655/253714/51053/5425/55218/51514/5422/374393/672/4796/5426/4172/2237/8318/142/4998/990/5888/6117/4176/6596/201254/641/55388/9156/11169/3978/6240/5557/7083/81620/4173/4174/8914/4171/4175",NA
"GO:0044786","cell cycle DNA replication",37,-0.651051137943673,-2.52483366537881,1.08265108639336e-07,2.58437836414481e-05,2.58350369914522e-05,1704,"tags=41%, list=10%, signal=36%","1763/5111/51053/5422/4172/2237/8318/5888/641/3978/7083/81620/4173/4171/4175",0.704975715167238
"GO:0031297","replication fork processing",59,-0.562273267093488,-2.44066861549341,1.79725029322413e-07,3.12013543329728e-05,3.11907944501966e-05,5454,"tags=71%, list=33%, signal=48%","55023/259282/201973/84083/8450/84893/546/5932/10111/7486/10293/29980/4683/50485/146956/6419/22891/10721/675/1642/8451/4361/10498/378708/5965/7517/580/64710/1763/5111/253714/55218/374393/672/4796/142/5888/6596/201254/641/9156/8914",0.690132458796796
"GO:0046112","nucleobase biosynthetic process",20,-0.738807907574433,-2.40224464527671,6.7098257513763e-06,0.000512541223061797,0.000512367757026453,1749,"tags=60%, list=10%, signal=54%","1503/5631/56474/51727/353/790/3251/10606/7298/1719/6470/1373",0.610526878385931
"GO:0032377","regulation of intracellular lipid transport",10,-0.919975511534268,-2.39914988041434,4.84970274490977e-08,1.3891973512794e-05,1.38872718703506e-05,926,"tags=70%, list=6%, signal=66%","6342/302/26119/20/27346/255738/407019",0.719512826338911
"GO:0045005","DNA-templated DNA replication maintenance of fidelity",66,-0.546381769989443,-2.3860975092968,1.50441518739488e-08,6.75835356496379e-06,6.75606624689917e-06,4537,"tags=59%, list=27%, signal=43%","254394/546/5932/10111/7486/10293/29980/4683/50485/146956/6419/22891/10721/675/1642/8451/4361/10498/5424/378708/5965/7517/580/64710/1763/5111/253714/55218/374393/672/4796/5426/142/5888/6596/201254/641/9156/8914",0.73376198835648
"GO:0006081","aldehyde metabolic process",67,-0.557467132422333,-2.37195431722118,6.52388616604743e-09,5.33933483504082e-06,5.33752777406009e-06,3301,"tags=60%, list=20%, signal=48%","3029/23729/219/2739/10901/2098/339761/1601/9380/654/25953/128/653/317749/26007/10327/220/11320/27122/11315/57026/501/8566/217/7167/126133/3417/22977/8574/224/6888/3418/8912/7086/1468/221/216/8644/218/1645",0.761460801445585
"GO:0042908","xenobiotic transport",42,-0.584369820430267,-2.34901369916344,2.09425477973859e-06,0.000210490976019691,0.000210419736803325,1986,"tags=52%, list=12%, signal=46%","5205/10351/2697/55754/10928/540/9429/51374/8140/4363/5002/6581/1244/21/2030/3177/10257/6573/8714/55244/222962/10786",0.627256739718528
"GO:0003081","regulation of systemic arterial blood pressure by renin-angiotensin",17,-0.75211690731373,-2.34092582106209,1.30854197101398e-05,0.000816831728193034,0.000816555277138839,3050,"tags=76%, list=18%, signal=63%","5550/1636/5137/6869/10159/5345/5547/1522/185/2150/1535/2149/63895",0.593325476396405
"GO:0006270","DNA replication initiation",38,-0.598506293722856,-2.33503505996756,1.6133464697499e-06,0.000174393621230135,0.000174334598914069,2714,"tags=50%, list=16%, signal=42%","23595/64785/5558/11073/51053/51514/5422/4172/8318/4998/990/4176/55388/5557/81620/4173/4174/4171/4175",0.643551836150722
"GO:1990748","cellular detoxification",98,-0.490541287477373,-2.32872823397769,2.29522144539611e-09,2.64614262921647e-06,2.64524706052815e-06,2689,"tags=46%, list=16%, signal=39%","2879/2098/9588/2946/9446/6647/373156/9403/25953/128/4258/64359/10327/2950/7295/10314/11315/2954/847/9429/114112/283871/4259/217/10935/84293/1356/23530/5052/1719/10549/4151/10966/7296/2936/171425/4257/64757/1728/140809/222962/216/2877/259/57016",0.774939030136436
"GO:1902969","mitotic DNA replication",16,-0.75173804534585,-2.32687458288596,4.31276086406987e-05,0.00181675051398943,0.00181613564733151,1671,"tags=75%, list=10%, signal=68%","5111/51053/5422/4172/8318/5888/3978/7083/81620/4173/4171/4175",0.557332238758646
"GO:0007520","myoblast fusion",69,-0.51720798748421,-2.31590504737446,1.49608889088601e-07,2.79524895665345e-05,2.79430292395891e-05,4008,"tags=67%, list=24%, signal=51%","6136/6164/6141/6135/6168/6165/6142/6181/9045/7311/6155/6143/6152/6158/6128/6171/824/4842/6138/6132/6157/6125/6176/30846/6134/6130/6133/80005/4736/6137/6129/6147/928/975/23521/6144/1793/6124/6175/170689/3756/8038/5738/1794/8912/3688",0.690132458796796
"GO:0006099","tricarboxylic acid cycle",31,-0.622641211117335,-2.29421853811115,8.58035919180732e-06,0.000614460972623302,0.000614253012552972,4342,"tags=61%, list=26%, signal=45%","4967/48/54949/1738/1431/2271/50/1737/4190/6390/55753/5160/6391/5162/4191/3417/23530/8801/3418",0.593325476396405
"GO:0030174","regulation of DNA-templated DNA replication initiation",18,-0.71789211568551,-2.28983852176851,1.72550607040441e-05,0.000969159242877144,0.00096883123762817,1602,"tags=50%, list=10%, signal=45%","51053/51514/4172/4176/81620/4173/4174/4171/4175",0.575610261071129
"GO:1901740","negative regulation of myoblast fusion",47,-0.552152593882548,-2.28112551511313,3.40205717032117e-06,0.00029530887164803,0.00029520892640097,4008,"tags=68%, list=24%, signal=52%","6136/6164/6141/6135/6168/6165/6142/6181/9045/7311/6155/6143/6152/6158/6128/6171/6138/6132/6157/6125/6176/6134/6130/6133/4736/6137/6129/6147/23521/6144/6124/6175",0.627256739718528
"GO:0033490","cholesterol biosynthetic process via lathosterol",19,-0.688252864132354,-2.28056601257709,0.000129125499552496,0.00361744956131256,0.00361622526050469,3298,"tags=58%, list=20%, signal=47%","6307/50814/4597/2224/2222/4047/7108/10682/1717/10654/1718",0.518848077743792
"GO:0006271","DNA strand elongation involved in DNA replication",15,-0.767941372148665,-2.2765215359238,1.47684683091183e-05,0.000881339113988943,0.000881040830855764,2872,"tags=80%, list=17%, signal=66%","5983/3980/10714/1763/5111/5425/5422/5426/4172/4176/3978/4173",0.593325476396405
"GO:0098754","detoxification",125,-0.480167017335593,-2.27032169748713,1.23415345661799e-10,2.35682171765483e-07,2.35602406762985e-07,2689,"tags=45%, list=16%, signal=38%","2879/5243/2098/9588/2946/9446/6647/373156/9403/25953/128/4258/64359/10327/4489/2950/7295/10314/11315/2954/10928/847/540/9429/114112/283871/5002/4259/217/10935/84293/1356/4494/23530/22977/8574/5052/1719/10549/4151/10966/7296/2936/171425/4257/64757/1728/55244/140809/222962/10786/216/2877/259/57016/54577",0.826657301178302
"GO:0072329","monocarboxylic acid catabolic process",108,-0.463269408312588,-2.26624985892362,1.42525544212851e-08,6.75835356496379e-06,6.75606624689917e-06,3120,"tags=47%, list=19%, signal=39%","1737/3945/10994/1891/56898/2109/171586/51390/197257/8310/5095/1666/283927/207/23600/3032/56603/26063/54677/3030/10449/66002/10327/5825/1374/254552/1962/32/1632/1892/35/10455/38/3667/3295/11332/11057/6342/2184/9123/9942/6652/5096/51084/1384/1066/3033/3939/8309/4051/11001",0.747739663149885
"GO:0032380","regulation of intracellular sterol transport",9,-0.925834862583945,-2.26366977560725,1.56131901925136e-07,2.79524895665345e-05,2.79430292395891e-05,926,"tags=78%, list=6%, signal=74%","6342/302/26119/20/27346/255738/407019",0.690132458796796
"GO:0032383","regulation of intracellular cholesterol transport",9,-0.925834862583945,-2.26366977560725,1.56131901925136e-07,2.79524895665345e-05,2.79430292395891e-05,926,"tags=78%, list=6%, signal=74%","6342/302/26119/20/27346/255738/407019",0.690132458796796
"GO:0009112","nucleobase metabolic process",29,-0.613272931377661,-2.25739276793934,4.0876132121004e-05,0.00174760717105397,0.00174701570548269,1749,"tags=41%, list=10%, signal=37%","1503/5631/56474/51727/353/790/3251/10606/7298/1719/6470/1373",0.557332238758646
"GO:0009124","nucleoside monophosphate biosynthetic process",40,-0.561601895797514,-2.25177359004873,2.0805989977156e-05,0.00111708570773563,0.00111670763779678,4721,"tags=72%, list=28%, signal=52%","7371/318/132/1723/8833/271/1635/7084/1633/978/55312/159/2618/3615/5198/5631/51727/353/471/1854/790/3251/10606/122622/3614/5634/7298/6470/7083",0.575610261071129
"GO:0006855","xenobiotic transmembrane transport",16,-0.721409702170646,-2.23299846298975,0.000200744660939189,0.0047720587656457,0.00477044369533084,1986,"tags=75%, list=12%, signal=66%","5205/10351/55754/51374/1244/21/2030/3177/10257/6573/8714/55244",0.518848077743792
"GO:0000768","syncytium formation by plasma membrane fusion",75,-0.484438517753429,-2.23030412647105,9.59416169840902e-07,0.000114510317437886,0.000114471562212202,4008,"tags=65%, list=24%, signal=50%","6136/6164/6141/6135/6168/6165/8536/6142/6181/9045/7311/6155/6143/6152/6158/6128/6171/824/4842/6138/6132/6157/6125/6176/30846/6134/6130/6133/80005/4736/6137/6129/9644/6147/928/975/23521/6144/8754/1793/6124/6175/170689/3756/8038/5738/1794/8912/3688",0.643551836150722
"GO:0009062","fatty acid catabolic process",89,-0.47459460194154,-2.22286389257704,2.21031483168919e-07,3.58528363537902e-05,3.58407022090652e-05,3056,"tags=45%, list=18%, signal=37%","10994/1891/56898/2109/171586/51390/8310/5095/1666/283927/207/23600/3032/26063/54677/3030/10449/66002/5825/1374/254552/1962/32/1632/1892/35/10455/38/3667/3295/11332/11057/6342/5096/1384/1066/3033/8309/4051/11001",0.690132458796796
"GO:0006664","glycolipid metabolic process",97,-0.470006932022594,-2.2209335057889,4.14522588783043e-08,1.24989469007266e-05,1.24947167185143e-05,2761,"tags=36%, list=17%, signal=30%","54982/3074/2583/9517/64781/2717/8702/8706/6484/9215/9375/8733/84720/2517/950/29956/51097/2760/2720/26301/54965/128869/93210/25870/2629/53947/80235/10026/8869/2581/20/285362/4668/9514/256435",0.719512826338911
"GO:1903509","liposaccharide metabolic process",97,-0.470006932022594,-2.2209335057889,4.14522588783043e-08,1.24989469007266e-05,1.24947167185143e-05,2761,"tags=36%, list=17%, signal=30%","54982/3074/2583/9517/64781/2717/8702/8706/6484/9215/9375/8733/84720/2517/950/29956/51097/2760/2720/26301/54965/128869/93210/25870/2629/53947/80235/10026/8869/2581/20/285362/4668/9514/256435",0.719512826338911
