"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","100/1368","174/6538",0.574712643678161,2.74668952073671,12.0119156264973,1.24302787076586e-26,4.36302782638818e-24,4.36302782638818e-24,"355/2661/4283/51561/7043/8795/6352/1440/3595/3569/6376/650/132014/939/8740/3460/5618/163702/2919/8807/7292/3603/3576/10148/2921/4803/8809/970/3976/6387/4804/958/8741/8784/146433/3590/1437/23529/6349/6351/7852/1233/10663/6348/53833/8794/3626/3567/7124/3627/285613/2660/2826/3596/282617/51554/3624/3592/10673/3456/2920/3601/4352/282616/4050/84957/3604/60401/943/353500/3553/1435/3574/64109/151449/94/6347/130399/92/269/90/85480/282618/8793/3575/10913/83729/8744/9235/3587/7133/4049/9560/6373/5008/1436/6361/8764/3552/6364",100
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","37/1368","51/6538",0.725490196078431,3.46729159500057,9.09851756840069,2.84924597002368e-15,5.00042667739155e-13,5.00042667739155e-13,"4283/8795/6352/3569/6376/8740/2919/8807/3576/2921/8809/6387/146433/6349/6351/7852/1233/6348/53833/8794/7124/3627/2826/51554/2920/1435/6347/8793/3587/7133/4049/9560/6373/1436/6361/8764/6364",37
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","42/1368","68/6538",0.617647058823529,2.95188338493292,8.32229685359071,2.38959526917761e-13,2.7958264649378e-11,2.7958264649378e-11,"85235/8338/114483833/8339/8340/6737/8970/8357/8362/8358/958/8345/8353/733/128312/8329/717/653604/8356/8294/55766/7124/440689/3012/2209/8969/8367/121504/8364/8348/3021/8365/3112/8344/8349/3111/720/8370/317772/8347/8341/440093",42
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","70/1368","174/6538",0.402298850574713,1.9226826645157,6.34525265344216,3.42623287865053e-09,3.00651935101584e-07,3.00651935101584e-07,"5739/1815/57053/283869/2893/7425/5618/1133/2918/799/9568/2925/2641/64106/5020/3363/2901/2570/151/11255/3972/133/286530/8811/2796/2905/5734/4985/6751/79924/10888/6866/4161/10161/552/4886/1139/257313/7068/2847/1395/22953/6752/9248/11054/797/2902/7349/2797/5032/1145/1144/6343/3375/5340/339403/9294/154/1131/1901/2696/3269/153/5028/2862/3814/1325/5021/719/7434",70
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","59/1368","146/6538",0.404109589041096,1.93133661780021,5.8539868565961,4.92182437852248e-08,3.45512071372278e-06,3.45512071372278e-06,"221037/7490/3569/904/5966/5079/3695/3398/3576/1027/8357/1026/8358/7709/4804/958/6688/1437/8353/4609/5371/4790/4193/905/51384/653604/7185/894/8356/4318/4616/860/1848/329/2209/51804/3684/8864/861/7849/5154/604/64332/8013/1031/4211/10912/4297/51513/3021/330/5914/597/1649/7403/1436/3207/1647/440093",59
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","41/1368","89/6538",0.460674157303371,2.20167225179052,5.87113230622412,8.02455968388478e-08,4.6943674150726e-06,4.6943674150726e-06,"4792/8740/23118/79092/2919/3576/2921/6387/148022/958/8915/6351/7128/1540/23586/4790/695/4791/7185/3383/7124/4616/329/27040/10673/2920/4050/60401/8837/7189/3553/10912/330/10913/597/4049/9560/5971/7412/5336/1647",41
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","24/1368","41/6538",0.585365853658537,2.79760376551134,5.93904319245549,1.51631744043943e-07,7.60324887991771e-06,7.60324887991771e-06,"51561/7043/3725/3595/3569/3460/7097/8807/8809/4772/4790/3567/6095/7124/3596/3592/30009/64127/3553/2625/3112/3111/50943/3552",24
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","13/1368","16/6538",0.8125,3.88313230994152,5.93910750760881,4.15055557447282e-07,1.82105625829995e-05,1.82105625829995e-05,"355/3569/3105/7124/3107/3824/3134/3553/3112/3111/3106/3552/3135",13
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","56/1368","147/6538",0.380952380952381,1.82066276803119,5.17637831225892,1.08218417612223e-06,4.20195623261675e-05,4.20195623261675e-05,"355/6352/3569/5199/4792/8740/3460/7097/23118/5295/148022/64135/684/10379/55080/115004/5371/29915/23586/4790/64170/972/3105/3717/56000/7124/4940/3592/329/6430/3456/836/3107/4939/3665/3134/6892/56829/8503/7189/10482/3553/6890/9021/5452/340061/6347/330/3112/567/4049/3111/3106/8764/3678/3135",56
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","31/1368","65/6538",0.476923076923077,2.27932973459289,5.33179432973072,1.2142893148458e-06,4.20195623261675e-05,4.20195623261675e-05,"51561/7043/6352/3725/3569/7097/534/535/2919/3576/2921/6387/8741/1437/6349/6348/3383/7124/7010/10673/2920/4050/3553/527/1435/6347/3112/3111/2353/3552/6364",31
