"GeneID","SYMBOL","ENSEMBL","ENTREZID","ZIKV_1","ZIKV_2","ZIKV_3","Control_1","Control_2","Control_3"
"ENSG00000120334","CENPL","ENSG00000120334","91687",669,928,674,327,335,334
"ENSG00000120337","TNFSF18","ENSG00000120337","8995",2,1,1,0,2,0
"ENSG00000120341","SEC16B","ENSG00000120341","89866",1,0,0,2,3,4
"ENSG00000120370","GORAB","ENSG00000120370","92344",1087,1582,881,268,221,283
"ENSG00000120436","GPR31","ENSG00000120436","2853",2,0,0,0,0,0
"ENSG00000120437","ACAT2","ENSG00000120437","39",106,156,109,519,973,809
"ENSG00000120438","TCP1","ENSG00000120438","6950",2008,3315,1861,5255,10810,7149
"ENSG00000120440","TTLL2","ENSG00000120440","83887",2,4,1,1,5,1
"ENSG00000120451","SNX19","ENSG00000120451","399979",1666,1675,1380,2403,2505,2210
"ENSG00000120457","KCNJ5","ENSG00000120457","3762",10,8,9,6,2,3
"ENSG00000120458","MSANTD2","ENSG00000120458","79684",574,606,414,334,255,256
"ENSG00000120471","TP53AIP1","ENSG00000120471","63970",15,7,5,4,0,1
"ENSG00000120500","ARR3","ENSG00000120500","407",37,27,27,14,12,12
"ENSG00000120509","PDZD11","ENSG00000120509","51248",449,823,416,1031,1051,1351
"ENSG00000120519","SLC10A7","ENSG00000120519","84068",184,204,124,84,54,88
"ENSG00000120526","NUDCD1","ENSG00000120526","84955",769,1190,670,1114,1475,1549
"ENSG00000120533","ENY2","ENSG00000120533","56943",1973,3666,1706,2332,2316,3170
"ENSG00000120539","MASTL","ENSG00000120539","84930",849,931,646,1016,1463,1428
"ENSG00000120549","KIAA1217","ENSG00000120549","56243",1883,1584,1379,351,241,289
"ENSG00000120563","LYZL1","ENSG00000120563","84569",0,0,1,0,0,0
"ENSG00000120594","PLXDC2","ENSG00000120594","84898",186,138,71,20,17,16
"ENSG00000120616","EPC1","ENSG00000120616","80314",1563,2162,1336,482,521,477
"ENSG00000120645","IQSEC3","ENSG00000120645","440073",88,54,71,2,0,0
"ENSG00000120647","CCDC77","ENSG00000120647","84318",243,308,183,512,672,654
"ENSG00000120656","TAF12","ENSG00000120656","6883",387,637,357,414,338,498
"ENSG00000120658","ENOX1","ENSG00000120658","55068",85,88,80,8,18,19
"ENSG00000120659","TNFSF11","ENSG00000120659","8600",2,5,2,0,0,0
"ENSG00000120662","MTRF1","ENSG00000120662","9617",311,303,222,210,171,259
"ENSG00000120664","SPART-AS1","ENSG00000120664","100507135",91,71,59,12,3,7
"ENSG00000120669","SOHLH2","ENSG00000120669","54937",3,10,4,0,0,0
"ENSG00000120675","DNAJC15","ENSG00000120675","29103",120,178,97,9,9,11
"ENSG00000120685","PROSER1","ENSG00000120685","80209",773,735,640,867,661,749
"ENSG00000120686","UFM1","ENSG00000120686","51569",2329,3019,1702,854,828,898
"ENSG00000120688","WBP4","ENSG00000120688","11193",774,1323,688,452,496,503
"ENSG00000120690","ELF1","ENSG00000120690","1997",1415,1593,1240,1183,1101,1210
"ENSG00000120693","SMAD9","ENSG00000120693","4093",82,67,39,11,13,15
"ENSG00000120694","HSPH1","ENSG00000120694","10808",3588,4540,2743,4062,7290,5739
